id,concepts,rating,tags,,,,,,,,,
1003-A,,800,"[""implementation""]",,,,,,,,,
1003-B,"[""Simulation""]",1300,"[""constructive algorithms""]",,,,,,,,,
1003-C,"[""Brute Force Enumeration""]",1300,"[""brute force"",""implementation"",""math""]",,,,,,,,,
1003-D,,1600,"[""greedy""]",,,,,,,,,
1003-F,"[""2D DP""]",2200,"[""dp"",""hashing"",""strings""]",,,,,,,,,
1006-A,,800,"[""implementation""]",,,,,,,,,
1006-B,,1200,"[""greedy"",""implementation"",""sortings""]",,,,,,,,,
1006-C,"[""Two Pointers on Sorted Array""]",1200,"[""binary search"",""data structures"",""two pointers""]",,,,,,,,,
1006-D,,1700,"[""implementation""]",,,,,,,,,
1006-E,"[""Tree DFS""]",1600,"[""graphs"",""trees""]",,,,,,,,,
1006-F,"[""Bitmask Enumeration""]",2100,"[""bitmasks"",""brute force"",""dp"",""meet-in-the-middle""]",,,,,,,,,
1007-A,"[""Two Pointers on Sorted Array""]",1300,"[""combinatorics"",""data structures"",""math"",""sortings"",""two pointers""]",,,,,,,,,
1007-B,"[""Inclusion-Exclusion""]",2400,"[""bitmasks"",""brute force"",""combinatorics"",""math"",""number theory""]",,,,,,,,,
1007-C,"[""Binary Search on Answer""]",3000,"[""binary search"",""interactive""]",,,,,,,,,
1007-D,,3200,"[""2-sat"",""data structures"",""trees""]",,,,,,,,,
1007-E,"[""2D DP""]",3400,"[""dp""]",,,,,,,,,
101-A,,1200,"[""greedy""]",,,,,,,,,
101-B,"[""1D DP""]",1700,"[""binary search"",""data structures"",""dp""]",,,,,,,,,
101-C,,2000,"[""implementation"",""math""]",,,,,,,,,
101-D,"[""Expected Value"",""Tree DP""]",2300,"[""dp"",""greedy"",""probabilities"",""sortings"",""trees""]",,,,,,,,,
101-E,"[""1D DP""]",2500,"[""divide and conquer"",""dp""]",,,,,,,,,
1013-A,,800,"[""math""]",,,,,,,,,
1013-B,,1200,"[""greedy""]",,,,,,,,,
1016-A,,900,"[""greedy"",""implementation"",""math""]",,,,,,,,,
1016-B,"[""Brute Force Enumeration""]",1300,"[""brute force"",""implementation""]",,,,,,,,,
1016-C,"[""1D DP""]",1800,"[""dp"",""implementation""]",,,,,,,,,
1016-D,"[""Bitmask Enumeration""]",1800,"[""constructive algorithms"",""flows"",""math""]",,,,,,,,,
1016-E,"[""Binary Search on Array""]",2400,"[""binary search"",""geometry""]",,,,,,,,,
1016-F,"[""Tree DFS""]",2600,"[""dp"",""graphs"",""trees""]",,,,,,,,,
1016-G,"[""Bitmask Enumeration"",""Submask Enumeration""]",2700,"[""bitmasks"",""math"",""number theory""]",,,,,,,,,
1017-A,,800,"[""implementation""]",,,,,,,,,
1017-B,,1200,"[""implementation"",""math""]",,,,,,,,,
1017-D,"[""Bitmask Enumeration""]",1900,"[""bitmasks"",""brute force"",""data structures""]",,,,,,,,,
1017-E,"[""Convex Hull"",""String Matching""]",2400,"[""geometry"",""hashing"",""strings""]",,,,,,,,,
1017-F,"[""Prime Sieve""]",2500,"[""brute force"",""math""]",,,,,,,,,
1017-G,"[""Simulation""]",3200,"[""data structures""]",,,,,,,,,
1017-H,"[""Simulation""]",3300,"[""brute force""]",,,,,,,,,
1027-A,,1000,"[""implementation"",""strings""]",,,,,,,,,
1027-B,,1200,"[""implementation"",""math""]",,,,,,,,,
1027-C,"[""Greedy Sorting""]",1600,"[""greedy""]",,,,,,,,,
1027-D,"[""Cycle Detection"",""DFS""]",1700,"[""graphs""]",,,,,,,,,
1027-E,"[""2D DP""]",2100,"[""combinatorics"",""dp"",""math""]",,,,,,,,,
1027-F,"[""Binary Search on Answer""]",2400,"[""binary search"",""dsu"",""graph matchings"",""graphs""]",,,,,,,,,
1027-G,"[""Fast Exponentiation"",""GCD""]",2600,"[""bitmasks"",""math"",""number theory""]",,,,,,,,,
1032-C,"[""2D DP""]",1700,"[""constructive algorithms"",""dp""]",,,,,,,,,
1032-D,"[""Line Intersection""]",1900,"[""geometry"",""implementation""]",,,,,,,,,
1032-E,"[""2D DP""]",2100,"[""dp"",""math""]",,,,,,,,,
1032-F,"[""Tree DP""]",2400,"[""dp"",""trees""]",,,,,,,,,
1033-A,,1000,"[""graphs"",""implementation""]",,,,,,,,,
1033-B,"[""Prime Factorization""]",1100,"[""math"",""number theory""]",,,,,,,,,
1033-C,"[""DP on DAG""]",1600,"[""brute force"",""dp"",""games""]",,,,,,,,,
1033-D,"[""GCD""]",2000,"[""interactive"",""math"",""number theory""]",,,,,,,,,
1033-E,"[""Binary Search on Array"",""DFS""]",2800,"[""binary search"",""constructive algorithms"",""graphs"",""interactive""]",,,,,,,,,
1033-F,"[""Bitmask Enumeration""]",2800,"[""bitmasks"",""brute force"",""fft"",""math""]",,,,,,,,,
1033-G,,3500,"[""games""]",,,,,,,,,
1036-A,,1000,"[""math""]",,,,,,,,,
1036-B,,1600,"[""math""]",,,,,,,,,
1036-C,"[""Digit DP""]",1900,"[""combinatorics"",""dp""]",,,,,,,,,
1036-D,"[""Two Pointers on Sorted Array""]",1600,"[""greedy"",""two pointers""]",,,,,,,,,
1036-E,"[""GCD""]",2400,"[""fft"",""geometry"",""number theory""]",,,,,,,,,
1036-F,"[""Inclusion-Exclusion""]",2400,"[""combinatorics"",""math"",""number theory""]",,,,,,,,,
1036-G,"[""Bitmask Enumeration"",""DFS""]",2700,"[""bitmasks"",""brute force"",""graphs""]",,,,,,,,,
1037-A,,1300,"[""constructive algorithms"",""greedy"",""math""]",,,,,,,,,
1037-B,,1300,"[""greedy""]",,,,,,,,,
1037-C,"[""1D DP""]",1300,"[""dp"",""greedy"",""strings""]",,,,,,,,,
1037-D,"[""BFS""]",1700,"[""graphs"",""shortest paths"",""trees""]",,,,,,,,,
1037-E,,2200,"[""graphs""]",,,,,,,,,
1037-F,,2500,"[""combinatorics"",""data structures"",""math""]",,,,,,,,,
