student_id,weak_kcs,n_weak,weakest_5,related_kcs
user0,Suffix Array;divide and conquer;graphs;hashing;string suffix structures,5,string suffix structures;divide and conquer;hashing;graphs;Suffix Array,Hash Map;String Matching;binary search;dp;sortings;strings
user10004,flows;graph matchings,2,graph matchings;flows;Orientation Test;Max Flow;shortest paths,graphs;shortest paths
user10019,,0,geometry;Distance Between Points;2D DP;strings;Prefix Sum,
user10028,geometry,1,geometry;graph matchings;String Matching;Fenwick Tree;hashing,
user10031,Orientation Test;geometry,2,geometry;Orientation Test;Hash Map;1D DP;shortest paths,Distance Between Points
user10036,Bitmask Enumeration;chinese remainder theorem;games;geometry;number theory,5,chinese remainder theorem;games;geometry;number theory;Bitmask Enumeration,Modular Arithmetic;Modular Inverse;combinatorics;math
user10047,Binary Search on Answer;Binary Search on Array;binary search;data structures;dp;string suffix structures;ternary search;trees,8,ternary search;trees;binary search;string suffix structures;dp,Recursion;brute force;graphs;sortings;strings
user10052,dsu;geometry;graph matchings,3,graph matchings;dsu;geometry;Ordered Set;Hash Map,Queue;Stack
user10059,Binary Search on Array;Tree DFS;flows;graphs;shortest paths;trees,6,shortest paths;graphs;trees;Binary Search on Array;Tree DFS,DFS;data structures;sortings
user10073,Hash Map;Lowest Common Ancestor;Max Flow;Ordered Set,4,Max Flow;Ordered Set;Lowest Common Ancestor;Hash Map;trees,Priority Queue;Tree DFS;data structures;graphs
user10074,Distance Between Points;geometry;graph matchings,3,graph matchings;geometry;Distance Between Points;Polygon Area;2-sat,math
user10077,geometry,1,geometry;Orientation Test;Distance Between Points;2-sat;Bipartite Graph Check,
user10080,Priority Queue,1,Priority Queue;Edit Distance;geometry;graphs;trees,Queue;Stack
user10086,Binary Lifting;divide and conquer;geometry,3,geometry;Binary Lifting;divide and conquer;Orientation Test;Polygon Area,Sparse Table;Tree DFS;dp;graphs
user10090,,0,graph matchings;flows;shortest paths;geometry;Max Flow,
user10094,,0,geometry;interactive;Multiset;graphs;2D DP,
user10103,,0,Max Flow;geometry;graph matchings;flows;ternary search,
user10119,,0,Tree DP;2D DP;graphs;hashing;dsu,
user10149,Max Flow,1,Max Flow;flows;Interval DP;2-sat;Connected Components,Priority Queue;graphs
user10153,,0,geometry;Distance Between Points;Max Flow;trees;Hash Map,
user10155,Brute Force Enumeration;Hash Map;Suffix Automaton;binary search;brute force;data structures;divide and conquer;dp;flows;graphs;greedy;shortest paths;string suffix structures;strings;trees,15,string suffix structures;strings;shortest paths;trees;brute force,Recursion;String Matching;Z Algorithm;implementation;math;sortings
user10159,Activity Selection;Binary Search on Array;Bitmask Enumeration;Fast Exponentiation;Hash Map;Suffix Array;bitmasks;data structures;hashing;string suffix structures;strings,11,string suffix structures;Binary Search on Array;Fast Exponentiation;Suffix Array;data structures,String Matching;binary search;brute force;math;sortings
user10183,shortest paths,1,shortest paths;graphs;binary search;Custom Comparator Sorting;probabilities,graphs
user10206,,0,2D DP;KMP;hashing;dp;Suffix Array,
user10219,DP on DAG,1,DP on DAG;geometry;graph matchings;Distance Between Points;flows,Topological Sort;dp
user10224,,0,Ordered Set;Monotonic Queue;1D DP;combinatorics;Dijkstra,
user10234,Meet-in-the-middle;Segment Tree;geometry,3,Meet-in-the-middle;Segment Tree;geometry;Bitmask DP;Ordered Set,Recursion;brute force;data structures;dp
user1024,Graph Representation;Hash Map;divide and conquer;graph matchings;graphs;interactive;string suffix structures,7,string suffix structures;interactive;Graph Representation;divide and conquer;graph matchings,Simulation;binary search;data structures;dp;sortings;strings
user10245,geometry,1,geometry;Distance Between Points;graph matchings;flows;interactive,
user10254,BFS;Graph Representation;dsu;graphs;number theory;shortest paths;trees,7,number theory;graphs;shortest paths;dsu;trees,Queue;Stack;data structures;math
user10270,,0,BFS;geometry;shortest paths;graphs;divide and conquer,
user10273,Line Intersection;geometry,2,geometry;Line Intersection;shortest paths;graph matchings;graphs,Distance Between Points;Orientation Test
