student_id,weak_kcs,n_weak,weakest_5,related_kcs
user0,graphs,1,graphs;flows;Bipartite Graph Check;shortest paths;DFS,
user10,,0,geometry;graphs;2D DP;data structures;dp,
user1000,,0,dp;Knapsack;Hash Map;2D DP;hashing,
user10000,geometry;graphs,2,geometry;graphs;shortest paths;Bipartite Graph Check;graph matchings,
user10001,,0,Polygon Area;Tree DFS;geometry;graphs;trees,
user10002,graphs,1,graphs;dsu;Ordered Set;Hash Map;data structures,
user10003,,0,geometry;Line Intersection;Binary Search on Answer;data structures;binary search,
user10004,flows;geometry,2,flows;geometry;Polygon Area;graph matchings;Max Flow,graphs;shortest paths
user10006,trees,1,trees;data structures;Connected Components;Lowest Common Ancestor;graphs,data structures;graphs
user10007,graphs,1,graphs;Polygon Area;shortest paths;trees;Tree Diameter,
user10008,,0,graphs;divide and conquer;brute force;implementation;Binary Lifting,
user10011,,0,flows;graphs;Tree DFS;trees;Stack,
user10012,graphs;shortest paths,2,shortest paths;graphs;trees;graph matchings;Tree DFS,
user10014,geometry,1,geometry;flows;Distance Between Points;graphs;Monotonic Stack,
user10016,divide and conquer;geometry;graphs,3,geometry;graphs;divide and conquer;shortest paths;Connected Components,dp
user10019,,0,geometry;Distance Between Points;2D DP;Prefix Sum;Tree DFS,
user1002,DFS;divide and conquer;graphs;shortest paths,4,shortest paths;graphs;divide and conquer;DFS;Tree DFS,Graph Representation;dp
user10020,,0,dp;brute force;strings;number theory;Simulation,
user10021,,0,Hash Map;data structures;Binary Search on Array;Bitmask Enumeration;binary search,
user10022,,0,Polygon Area;Tree DFS;geometry;DFS;graphs,
user10023,,0,geometry;Polygon Area;graphs;trees;Tree DFS,
user10024,,0,2D DP;Tree DFS;graphs;ternary search;Prefix Sum,
user10025,geometry,1,geometry;graphs;trees;Hash Map;Bitmask Enumeration,
user10028,geometry,1,geometry;graph matchings;flows;graphs;Tree DFS,
user10029,DFS;Graph Representation;flows;graphs,4,graphs;DFS;flows;Graph Representation;Max Flow,shortest paths
user10030,graphs,1,graphs;Polygon Area;geometry;Distance Between Points;data structures,
user10031,graphs;shortest paths,2,shortest paths;graphs;Tree DFS;divide and conquer;trees,
user10033,trees,1,trees;geometry;shortest paths;graphs;data structures,data structures;graphs
user10034,,0,flows;graphs;brute force;Binary Search on Answer;Simulation,
user10036,flows;geometry;graphs;shortest paths,4,flows;geometry;shortest paths;graphs;graph matchings,
user10037,graphs;shortest paths,2,shortest paths;graphs;Hash Map;data structures;Shortest Path in DAG,
user10038,,0,geometry;shortest paths;Bipartite Graph Check;graphs;Strongly Connected Components,
user10039,,0,geometry;graphs;Hash Map;Priority Queue;dp,
user1004,,0,geometry;flows;graphs;Shortest Path in DAG;trees,
user10040,,0,graphs;2-sat;shortest paths;Strongly Connected Components;Connected Components,
user10042,,0,dp;Brute Force Enumeration;Prime Sieve;dsu;State Simulation,
user10043,graphs,1,graphs;flows;2-sat;shortest paths;Strongly Connected Components,
user10044,,0,flows;divide and conquer;Bipartite Graph Check;graphs;geometry,
user10045,,0,Tree DFS;Tree DP;DFS;dsu;dp,
user10046,Priority Queue,1,Priority Queue;data structures;graphs;dsu;Bipartite Graph Check,Queue;Stack
user10047,graphs;shortest paths,2,shortest paths;graphs;flows;graph matchings;trees,
user10049,,0,flows;graphs;geometry;Connected Components;graph matchings,
user1005,,0,shortest paths;graphs;Tree DFS;geometry;Strongly Connected Components,
user10050,,0,shortest paths;graphs;data structures;dp;two pointers,
user10051,graphs;shortest paths,2,shortest paths;graphs;geometry;Dijkstra;Connected Components,
user10052,flows;graphs;shortest paths,3,graphs;flows;shortest paths;Bipartite Graph Check;trees,
